wl,k
0.25157,1.610157
0.25316,1.630462
0.25475,1.656333
0.25634,1.668629
0.25793,1.685505
0.25953,1.702589
0.26112,1.720060
0.26271,1.734038
0.26430,1.749004
0.26589,1.763754
0.26749,1.778991
0.26908,1.792554
0.27067,1.806386
0.27226,1.820418
0.27386,1.832906
0.27545,1.846160
0.27704,1.857638
0.27863,1.867040
0.28023,1.873754
0.28182,1.881683
0.28341,1.886543
0.28500,1.892674
0.28660,1.897467
0.28819,1.902358
0.28978,1.904639
0.29138,1.910404
0.29297,1.919999
0.29456,1.918742
0.29616,1.918812
0.29775,1.919889
0.29934,1.921715
0.30094,1.924028
0.30253,1.926624
0.30412,1.929332
0.30572,1.931955
0.30731,1.934368
0.30890,1.936468
0.31050,1.938129
0.31209,1.939298
0.31369,1.939902
0.31528,1.939913
0.31687,1.939302
0.31847,1.938071
0.32006,1.936211
0.32166,1.933763
0.32325,1.930748
0.32484,1.927179
0.32644,1.923149
0.32803,1.918660
0.32963,1.913827
0.33122,1.908655
0.33282,1.903276
0.33441,1.897693
0.33601,1.892048
0.33760,1.886378
0.33919,1.880721
0.34079,1.875218
0.34238,1.869872
0.34398,1.864816
0.34557,1.860049
0.34717,1.855690
0.34876,1.851737
0.35036,1.848286
0.35195,1.845335
0.35355,1.842953
0.35514,1.841133
0.35674,1.839916
0.35833,1.839293
0.35993,1.839270
0.36152,1.839837
0.36312,1.840969
0.36471,1.842651
0.36631,1.844829
0.36790,1.847490
0.36950,1.850551
0.37109,1.854000
0.37269,1.857736
0.37428,1.861746
0.37588,1.865947
0.37748,1.870247
0.37907,1.874638
0.38067,1.879005
0.38226,1.883344
0.38386,1.887546
0.38545,1.891612
0.38705,1.895445
0.38864,1.899052
0.39024,1.902371
0.39184,1.905356
0.39343,1.908021
0.39503,1.910315
0.39662,1.912258
0.39822,1.913821
0.39981,1.915026
0.40141,1.915871
0.40301,1.916366
0.40460,1.916537
0.40620,1.916405
0.40779,1.915994
0.40939,1.915333
0.41099,1.914460
0.41258,1.913397
0.41418,1.912189
0.41577,1.910853
0.41737,1.909434
0.41896,1.907942
0.42056,1.906407
0.42216,1.904859
0.42375,1.903290
0.42535,1.901725
0.42694,1.900144
0.42854,1.898549
0.43014,1.896935
0.43173,1.895259
0.43333,1.893501
0.43493,1.891638
0.43652,1.889606
0.43812,1.887384
0.43971,1.884899
0.44131,1.882115
0.44291,1.879007
0.44450,1.875493
0.44610,1.871580
0.44769,1.867194
0.44929,1.862341
0.45089,1.857056
0.45248,1.851288
0.45408,1.845146
0.45567,1.838608
0.45727,1.831791
0.45887,1.824839
0.46046,1.817785
0.46206,1.810807
0.46366,1.804090
0.46525,1.797692
0.46685,1.791817
0.46844,1.786482
0.47004,1.781752
0.47164,1.777588
0.47323,1.773738
0.47483,1.769875
0.47642,1.765327
0.47802,1.759179
0.47962,1.750152
0.48121,1.736265
0.48281,1.738108
0.48440,1.736009
0.48600,1.735837
0.48760,1.738931
0.48919,1.741505
0.49079,1.744980
0.49238,1.750029
0.49398,1.755039
0.49558,1.762202
0.49717,1.770504
0.49877,1.783858
0.50036,1.798934
0.50196,1.816142
0.50356,1.834243
0.50515,1.856105
0.50675,1.877222
0.50834,1.896995
0.50994,1.920112
0.51154,1.942824
0.51313,1.965665
0.51473,1.989298
0.51632,2.012680
0.51792,2.038451
0.51951,2.063012
0.52111,2.088623
0.52271,2.113171
0.52430,2.136495
0.52590,2.160979
0.52749,2.185475
0.52909,2.213234
0.53068,2.238272
0.53228,2.265850
0.53388,2.289209
0.53547,2.314471
0.53707,2.338883
0.53866,2.359578
0.54026,2.380782
0.54185,2.401956
0.54345,2.424132
0.54504,2.447018
