wl,n
0.25157,1.284522
0.25316,1.287395
0.25475,1.289887
0.25634,1.292111
0.25793,1.297019
0.25953,1.302193
0.26112,1.312810
0.26271,1.317305
0.26430,1.327327
0.26589,1.334944
0.26749,1.343947
0.26908,1.354783
0.27067,1.362943
0.27226,1.374588
0.27386,1.385583
0.27545,1.398511
0.27704,1.411681
0.27863,1.425616
0.28023,1.439553
0.28182,1.451183
0.28341,1.463878
0.28500,1.474227
0.28660,1.483892
0.28819,1.497692
0.28978,1.506296
0.29138,1.518303
0.29297,1.522234
0.29456,1.536449
0.29616,1.547837
0.29775,1.557251
0.29934,1.565352
0.30094,1.572529
0.30253,1.579218
0.30412,1.585744
0.30572,1.592230
0.30731,1.598852
0.30890,1.605731
0.31050,1.612809
0.31209,1.620166
0.31369,1.627672
0.31528,1.635310
0.31687,1.643052
0.31847,1.650713
0.32006,1.658294
0.32166,1.665605
0.32325,1.672600
0.32484,1.679229
0.32644,1.685325
0.32803,1.690889
0.32963,1.695786
0.33122,1.700021
0.33282,1.703497
0.33441,1.706225
0.33601,1.708149
0.33760,1.709280
0.33919,1.709620
0.34079,1.709177
0.34238,1.707971
0.34398,1.706049
0.34557,1.703431
0.34717,1.700200
0.34876,1.696375
0.35036,1.692067
0.35195,1.687293
0.35355,1.682184
0.35514,1.676754
0.35674,1.671145
0.35833,1.665364
0.35993,1.659559
0.36152,1.653728
0.36312,1.648012
0.36471,1.642404
0.36631,1.637029
0.36790,1.631869
0.36950,1.627032
0.37109,1.622490
0.37269,1.618326
0.37428,1.614504
0.37588,1.611060
0.37748,1.608012
0.37907,1.605314
0.38067,1.602985
0.38226,1.600973
0.38386,1.599276
0.38545,1.597841
0.38705,1.596649
0.38864,1.595646 
0.39024,1.594798
0.39184,1.594067
0.39343,1.593400
0.39503,1.592765
0.39662,1.592112
0.39822,1.591413
0.39981,1.590622
0.40141,1.589714
0.40301,1.588665
0.40460,1.587442
0.40620,1.586040
0.40779,1.584428
0.40939,1.582606
0.41099,1.580583
0.41258,1.578333
0.41418,1.575889
0.41577,1.573229
0.41737,1.570397
0.41896,1.567371
0.42056,1.564183
0.42216,1.560869
0.42375,1.557405
0.42535,1.553845
0.42694,1.550159
0.42854,1.546374
0.43014,1.542521
0.43173,1.538548
0.43333,1.534472
0.43493,1.530306
0.43652,1.525975
0.43812,1.521506
0.43971,1.516806
0.44131,1.511861
0.44291,1.506655
0.44450,1.501068
0.44610,1.495114
0.44769,1.488656
0.44929,1.481670
0.45089,1.474144
0.45248,1.465929
0.45408,1.457079
0.45567,1.447442
0.45727,1.437043
0.45887,1.425938
0.46046,1.413990
0.46206,1.401282
0.46366,1.387933
0.46525,1.373823
0.46685,1.359181
0.46844,1.343880
0.47004,1.328050
0.47164,1.311804
0.47323,1.294884
0.47483,1.277350
0.47642,1.258683
0.47802,1.238471
0.47962,1.216047
0.48121,1.189890
0.48281,1.170568
0.48440,1.144302
0.48600,1.113480
0.48760,1.079774
0.48919,1.044738
0.49079,1.011442
0.49238,0.981897
0.49398,0.955612
0.49558,0.928726
0.49717,0.900388
0.49877,0.868936
0.50036,0.835603
0.50196,0.802266
0.50356,0.767130
0.50515,0.737730
0.50675,0.707640
0.50834,0.682240
0.50994,0.659045
0.51154,0.638130
0.51313,0.619764
0.51473,0.601884
0.51632,0.583199
0.51792,0.564885
0.51951,0.544985
0.52111,0.525386
0.52271,0.506651
0.52430,0.490986
0.52590,0.476172
0.52749,0.464040
0.52909,0.453925
0.53068,0.442152
0.53228,0.434186
0.53388,0.424638
0.53547,0.413271
0.53707,0.402307
0.53866,0.391228
0.54026,0.380730
0.54185,0.371240
0.54345,0.362631
0.54504,0.353649
0.54664,0.346089
0.54823,0.339950
0.54983,0.334770
0.55142,0.329217
0.55302,0.324647
0.55461,0.319851
0.55621,0.313088
0.55780,0.306739
0.55940,0.299786
0.56099,0.293758
0.56259,0.287899
0.56418,0.282125
0.56578,0.277413
0.56737,0.272752
0.56897,0.269000
0.57056,0.265629
0.57216,0.262543
0.57375,0.258414
0.57535,0.254905
0.57694,0.251577
0.57854,0.246942
0.58013,0.243136
0.58173,0.239165
0.58332,0.236663
0.58491,0.231195
0.58651,0.227431
0.58810,0.224788
0.58970,0.220536
0.59129,0.219340
0.59289,0.216413
0.59448,0.213144
0.59607,0.211688
0.59767,0.209458
0.59926,0.207365
0.60086,0.205028
0.60245,0.203450
0.60404,0.199380
0.60564,0.195360
0.60723,0.192552
0.60882,0.191029
0.61042,0.188562
0.61201,0.185331
0.61361,0.184297
0.61520,0.181463
0.61679,0.180180
0.61839,0.179270
0.61998,0.177374
0.62157,0.175644
0.62316,0.172965
0.62476,0.173615
0.62635,0.170924
0.62794,0.167898
0.62954,0.166978
0.63113,0.164588
0.63272,0.162789
0.63432,0.160351
0.63591,0.158405
0.63750,0.158269
0.63909,0.156643
0.64069,0.154020
0.64228,0.150748
0.64387,0.150984
0.64546,0.151722
0.64706,0.149365
0.64865,0.148122
0.65024,0.146374
0.65183,0.144943
0.65342,0.143667
0.65502,0.142252
0.65661,0.140863
0.65820,0.140247
0.65979,0.138266
0.66138,0.136902
0.66297,0.135901
0.66457,0.135059
0.66616,0.134894
0.66775,0.133174
0.66934,0.131347
0.67093,0.130371
0.67252,0.129600
0.67411,0.130106
0.67570,0.128254
0.67730,0.126503
0.67889,0.126860
0.68048,0.127252
0.68207,0.127830
0.68366,0.127192
0.68525,0.126803
0.68684,0.126808
0.68843,0.127072
0.69002,0.125222
0.69161,0.126962
0.69320,0.124007
0.69479,0.123229
0.69638,0.123383
0.69797,0.126175
0.69956,0.122764
0.70115,0.123955
0.70274,0.121978
0.70433,0.122276
0.70592,0.121939
0.70751,0.124982
0.70910,0.125520
0.71069,0.123918
0.71227,0.122426
0.71386,0.125132
0.71545,0.123632
0.71704,0.126667
0.71863,0.123660
0.72022,0.126424
0.72181,0.124961
0.72340,0.125025
0.72498,0.122971
0.72657,0.123430
0.72816,0.121908
0.72975,0.125709
0.73134,0.125605
0.73292,0.125524
0.73451,0.128348
0.73610,0.127427
0.73769,0.125082
0.73928,0.126587
0.74086,0.128106
0.74245,0.125878
0.74404,0.124449
